Player	Full Name	Date and Place of Birth	Current Age	Major Teams	Playing Role	Batting Style	Bowling Style	Highest ODI Score	ODI Debut	Profile Information	Picture of the Player	Country
Rishabh Pant	Rishabh Rajendra Pant	October 4, 1997, Haridwar, Uttarakhand 	23 years 147 days	India, Delhi, Delhi Capitals, Delhi Daredevils, Delhi Under-19s, India A, India Red, India Under-19s, Indian Board President's XI, North Zone	Wicketkeeper batsman	Left-hand bat		71	India v West Indies at Guwahati, Oct 21, 2018	Rishabh Pant moved around from city to city in his early teens to make a name for himself. He switched bases from Roorkee to Delhi to Rajasthan, then returned to Delhi, and was even thrown out of an academy once. A few years down the road, he opened the batting for India in the Under-19 World Cup in Bangladesh, smashed a record-breaking fifty against Nepal and followed it up with a century against Namibia to help India qualify for the semi-finals. Incidentally, his century came on the same day when he was bought by Delhi Daredevils for INR 1.9 crores from a base price of Rs 10 lakhs. A year after making his Ranji Trophy debut at the age of 18 in 2015, Pant broke records by scoring a triple-hundred against Maharashtra and a blistering 48-ball hundred against Jharkhand in the 2016-17 first-class season. In January 2017, he was rewarded with a call-up to India's T20 squad for the three home matches against England. 	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1223386.html"",""Rishabh Pant"")"	India
Jofra Archer	Jofra Chioke Archer	April 1, 1995, Bridgetown, Barbados 	25 years 333 days	England, Barbados Under-19s, Hobart Hurricanes, Khulna Titans, Lantau Galaxy Riders, Quetta Gladiators, Rajasthan Royals, Sindhis, Sussex, Sussex 2nd XI, West Indies Under-19s	Bowler	Right-hand bat	Right-arm fast	8*	Ireland v England at Dublin (Malahide), May 3, 2019	"Jofra Archer has rapidly become one of the most exciting young allrounders in English cricket. Born in Barbados to an English father and Bajan mother, the possibility of his inclusion in England's 2019 World Cup squad became subject of much speculation in the run-up to the tournament. Changes to the ECB's qualification rules led to him becoming eligible after three years of residency - rather than the expected seven - and he was quickly given his chance at international level. 
 Archer had declared his intention to play for England soon after moving to the country, taking advantage of his British passport. He impressed with Sussex, as well as in T20 leagues around the world, and made his debut in an ODI against Ireland. It only took a couple of performances - he picked up 2 for 29 in a T20I against Pakistan, followed by 1 for 6 from four overs of precision pace in an abandoned ODI - to convince England of his value at the World Cup, never mind concerns that his promotion might ruffle feathers among the fast-bowling group.
 Archer's talent was obvious as he set about following his friend and fellow Bajan Chris Jordan into the England set-up. It was Jordan who first alerted Sussex to Archer's talents after facing him in a net session in Barbados and his assessment that ""the sky is the limit"" has been borne out by batting and bowling spells of great promise.
 Archer, a silky fast bowler with a high action capable of speeds above 90mph, and dangerous lower-middle order batsman, played for West Indies Under-19s in 2013 but after suffering a serious back injury he slipped out of the Barbados system. Instead, he rallied while playing for Sussex's 2nd XI and for Horsham in the Sussex Premier League.
 Archer claimed four scalps on his first-class bow against Pakistan before collecting a maiden five-wicket haul in a Royal London Cup defeat to Somerset. He had been playing without a contract because of a long-term back injury, but Sussex acted quickly to secure him for longer. He made a powerful impression when he broke into Sussex's Championship side in the latter half of 2016, making his debut in all three formats and taking 35 wickets in all, 23 of them at 30 runs apiece in Division Two to bring cheer to a mundane Sussex season. He also wasted no time showing his potential with the bat as he struck 72 batting at No. 8 on debut against Essex.
 He floated into the crease with good effect in 2017, too, with 61 wickets at 25 and an average of more than 45 with the bat, a bright aspect of Sussex's flagging promotion campaign. That winter he went to the Big Bash League for the first time and subsequently showed his star potential in the IPL after being bought for £800,000 by Rajasthan Royals.ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1224546.html"",""Jofra Archer"")"	England
Adam Zampa	Adam Zampa	March 31, 1992, Shellharbour, New South Wales 	28 years 334 days	Australia, Adelaide Strikers, Bangalore T20, East Torrens, Guyana Amazon Warriors, Jamaica Tallawahs, Melbourne Stars, New South Wales, New South Wales Under-19s, Rising Pune Supergiants, Royal Challengers Bangalore, South Australia, Sydney Thunder	Bowler	Right-hand bat	Legbreak googly	22	South Africa v Australia at Durban, Mar 4, 2016	"A legspinner with a run-up and action resembling that of Shane Warne, Adam Zampa emerged in Australia's ODI and T20 squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20, especially, he has proven a hard man to get away, with subtle changes of pace and variations including a wrong'un and straight ball making up for a lack of prodigious turn.  
 At the 2016 World T20 in India, no Australian bowler took more wickets during the tournament than Zampa's five at 13.80 at an economy rate of 6.27. In the IPL that followed, he claimed what was the second-best figures in the tournament's history when he took 6 for 19 for Rising Pune Supergiants, albeit in a losing cause against Sunrisers Hyderabad.
 After two years in and out of Australia's ODI and T20I teams he finally became a regular in 2019 playing every game on the successful tours of India and the UAE and bedding down his place for that year's World Cup squad.
 His white-ball success has curbed his opportunities at first-class level. Zampa's father Darren played for New South Wales Country and Zampa also began his career in his home state, debuting for New South Wales in 2012-13 before moving to South Australia the following year. He return to Sydney for the 2019-2020 season in the hope of more first-class opportunity. ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1099536.html?alt=1"",""Adam Zampa"")"	Australia
Mohammad Shahzad	Mohammad Shahzad Mohammadi	January 10, 1987, Nangarhar, Afghanistan 	34 years 49 days	Afghanistan, Band-e-Amir Dragons, Boost Defenders, Chittagong Vikings, Habib Bank Limited, Kabul Eagles, Paktia Panthers, Peshawar Zalmi, Rangpur Rangers, Rangpur Riders, Sheikh Jamal Dhanmondi Club, Speen Ghar Tigers	Wicketkeeper batsman	Right-hand bat		131*	Netherlands v Afghanistan at Amstelveen, Aug 30, 2009	"One of the most entertaining batsmen in the Associate cricket world, and one who never shies away from theatrically celebrating even the most mundane milestones, Mohammad Shahzad is a throwback player to a time when a bulging waistline would be excused by most coaches and selectors as long as it coincided with a bulging runs column on the scoresheet. Shahzad has proven his worth time and again with a series of thrilling batting displays, often producing his own version of the helicopter shot, and his fearlessness at the crease makes him one of the few Associate batsmen capable of standing toe-to-toe against Full Member opposition. 
 Shahzad had yet to make his debut when Afghanistan's magic carpet ride took them from WCL Division Five in 2008 to three straight promotions up the Associate cricket ladder, but he proved to be a valuable addition to the squad at his maiden tournament, the 2009 World Cup Qualifier in South Africa. Needing a win in their final Super Eight match to secure ODI status for an initial four-year period, Shahzad struck 73 in a 21-run victory over Namibia. Afghanistan made that that cherished ODI status more permanent, with Shahzad at the forefront of the batting unit, most prominently in T20s. He has played a starring role in each of Afghanistan's World T20 Qualifier campaigns to secure four consecutive berths at the World T20, beginning in 2010, and he is far and away his country's career leading scorer in the format. 
 Due to his adventurous strokeplay and the nature of Afghanistan's membership status, Shahzad has sometimes been unfairly stereotyped as a limited-overs specialist but he has an adaptable technique to play long-form cricket too. Eleven days after his 64* off 46 balls ensured a successful chase against Ireland in the 2010 World T20 Qualifier final, Shahzad engineered one of the greatest heists in first-class history, scoring a fourth-innings 214 not out to overhaul a target of 494 in a 2010 Intercontinental Cup match against Canada. 
 The one blemish on Shahzad's ledger is linked to his weight, which has been a fluctuating concern under different management regimes. The short and stocky wicketkeeper received a major wake-up call when he was left out of Afghanistan's final 15-man squad for the 2015 World Cup on fitness grounds by then coach Andy Moles. The sting of missing Afghanistan's maiden appearance at the ICC's showpiece event in Australia and New Zealand spurred him on to a wondrous revival and at the end of 2016 he was named the ICC Associate & Affiliate Cricketer of the Year, the first Afghan to claim the honour. 
 In January 2017, Shahzad achieved a rare feat of scoring two T20I half-centuries in a day, leading Afghanistan to victories over Oman and Ireland in the morning semi-final and evening final of the inaugural Desert T20 Challenge in Dubai. It would later emerge that in a drug test taken just days earlier, Shahzad tested positive for the banned substance Clenbuterol, which Shahzad claimed to have inadvertently ingested through his use of the weight-loss supplement Hydroxycut. After a provisional suspension started in April 2017, he was retroactively suspended for one year and became eligible to play again on January 17, 2018. 
 Peter Della Penna"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221790.html"",""Mohammad Shahzad"")"	Afghanistan
Marcus Stoinis	Marcus Peter Stoinis	August 16, 1989, Perth 	31 years 196 days	Australia, Australia A, Australia Under-19s, Australian XI, Delhi Capitals, Delhi Daredevils, Kent, Kent 2nd XI, Kings XI Punjab, Melbourne Stars, Perth Scorchers, PJ Cummins' XI, Royal Challengers Bangalore, Scarborough, Victoria, Victoria Under-23s, Victorian XI, Western Australia, Western Australia A, Western Australia Second XI, Western Australia Under-19s, Western Australia Under-23s, World XI, World XI	Middle-order batsman	Right-hand bat	Right-arm medium	146*	England v Australia at Cardiff, Aug 31, 2015	"A top-order batsman and medium-pace bowler, Marcus Stoinis debuted for his home state of Western Australia at the age of 19, but won limited opportunities with the Warriors and moved to Victoria to further his career. Eventually persuaded by his piles of runs for Northcote, the Victorian selectors gave him a run of games in the Sheffield Shield side during 2013-14 and Stoinis rewarded them with an outstanding 170 against Tasmania, a breakthrough innings that led to him becoming a regular in the top order. Stoinis was Victoria's leading run-scorer in the 2014-15 Sheffield Shield season and was called into Australia's squad for their limited-overs matches against England in 2015, where he debuted, playing an ODI and a T20I.  
 He did not do enough to secure a permanent place in the national squad then, but continued to impress in first-class cricket and scored a century for Australia A against South Africa A in 2016. He was selected for his second ODI in January 2017 and what an ODI comeback it was: after claiming three wickets, Stoinis scored 146 not out from No. 7 to help Australia almost pull off an unlikely victory against New Zealand at Eden Park. That innings gave Stoinis a permanent place in the ODI and T20I teams where he has since batted in a multitude of spots in the middle order and bowled in a variety of roles including the death overs. He was Australia's ODI cricketer of the year in 2018-19. 
 His first-class cricket stalled in the same period with a long dip in form, in part due to a lack of continuity. He also had to move from Victoria back to Western Australia for family reasons. Talked about as a potential Test match allrounder, despite a middling first-class record, he was called into an extended Test squad for the second Test against Sri Lanka in February 2019. ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1232617.html"",""Marcus Stoinis"")"	Australia
Sayed Shirzad	Sayed Ahmad Shirzad	October 1, 1994 	26 years 150 days	Afghanistan, Afghanistan Under-19s, Boost Region	Bowler	Right-hand bat	Left-arm medium	25	Afghanistan v Oman at Abu Dhabi, Nov 29, 2015		"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221797.html"",""Sayed Shirzad"")"	Afghanistan
Hamid Hassan	Hamid Hassan	June 1, 1987, Nengrakar, Afghanistan 	33 years 272 days	Afghanistan, Marylebone Cricket Club, Marylebone Cricket Club Young Cricketers, Pakistan Customs	Bowler	Right-hand bat	Right-arm fast	17	Afghanistan v Ireland at Colombo (PSS), Feb 1, 2010	"In June 2007, Hamid Hassan became the first Afghanistan cricketer ever to play at Lord's when he took 1 for 23, representing MCC against a select Europe XI. Little more than 6ft tall, with a smooth and athletic run-up, his fast arm surprises batsmen and he has a natural full-of-a-length delivery, swinging the ball both ways at pace. A reasonable tailender and with excellent hands in the outfield, Hassan - softly spoken yet fiercely ambitious - represents the talent which exists in Afghanistan. 
 The match at Lord's was a significant step for a bowler whose family fled the bombs of Jalalabad when he was six, and who subsequently learned the game in Peshawar where thousands of his countrymen sought refuge. His family, all of whom hated the game, did their best to encourage education but Hassan's determination - he played the game in secret for years - eventually won them over. He was first spotted when playing for Afghanistan in March 2006 in Mumbai when they defeated an MCC side led by Mike Gatting, where the then MCC president, Robin Marlar, noticed his potential, and was stunned to see him bowling in flat trainers. Hasan toured England with the national side in 2006, playing several matches against county second XIs, winning them all and was drafted onto MCC's groundstaff where he bowled against his hero, Andrew Flintoff, and was quick enough to smash Monty Panesar's helmet in the nets.
 He ventured north to play for Norden CC in the Central Lancashire League the following year and represented Afghanistan in the 2009 World Cup Qualifiers, where his whippy action on a corrugated pitch earned him his first five-wicket haul, helping his side upset the tournament favourites Ireland. His once apathetic family celebrated back home by sacrificing a lamb and handing it around the small village to poor people.
 Although Afghanistan missed out on World Cup qualification, they earned ODI status and at their next qualifying event - for the World Twenty20 - Hassan's incisive death bowling and 12 wickets played an important part in their qualification for the tournament in the West Indies. It appears the only thing that might be able to limit Hassan's ambition is the frailty of his own body. In 2012 a knee injury necessitated two operations, and he missed out on the World T20 qualifying final against Ireland in 2013. When he's fit, he completes Afghanistan's varied bowling attack, and his pace, reverse swing and yorkers make him Associate cricket's most lethal bowler.Liam Brickhill"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221779.html"",""Hamid Hassan"")"	Afghanistan
Shikhar Dhawan	Shikhar Dhawan	December 5, 1985, Delhi 	35 years 85 days	India, Deccan Chargers, Delhi, Delhi Capitals, Delhi Daredevils, Delhi Under-16s, India A, India B, India Blue, India Emerging Players, India Green, India Masters, India Red, India Seniors, India Under-19s, Indian Board President's XI, Mumbai A, Mumbai Indians, North Zone, Rest of India, Sunrisers Hyderabad, UWI Vice Chancellor's XI	Opening batsman	Left-hand bat	Right-arm offbreak	143	India v Australia at Visakhapatnam, Oct 20, 2010	"Shikhar Dhawan stunned all observers, and Australia, when he stroked his way to the fastest Test century by a debutant. That debut, in Mohali in 2012-13, came to Dhawan in his ninth year of first-class cricket after he had been written off by almost everybody, not least because India's opening combination had been fixed to the most prolific combination in their Test history: Virender Sehwag and Gautam Gambhir. 
  Dhawan is one in a long line of stroke-players from Delhi, which became the Indian batting capital in the 2000s. He stands upright in his stance, is a bit stiff with his hands when he pushes forward, and is partial to the cover-drive. Those who played domestic cricket with him say he is supremely confident, bordering on showmanship. He is also a flamboyant personality with his ever-changing looks and the twirled moustache.
  However, the attractive strokes, which were apparent even in the 2003-04 Under-19 World Cup where he was the Player of the Tournament for scoring 505 runs at 84.16 with three centuries, didn't seem to translate into huge seasons in Ranji Trophy. His average stayed steady in the mid-40s, but he didn't quite dare the selectors to overlook him. After lukewarm showing in the IPL and five ODIs, and with the Test openers going well, it seemed Dhawan would be left consigned to domestic cricket and T20 leagues.
  Fortune turned, though, and both Sehwag and Gambhir lost form dramatically, giving Dhawan a chance at the age of 27 with 81 caps and 5679 first-class runs to his name already. Dhawan grabbed the chance with arguably the best debut by an Indian batsman, smashing 187 off 174 balls to set up India's win in a Test that was reduced to four days. He was picked in India's squad for the Champions Trophy soon after, and carried his sizzling form into that tournament with two centuries in the side's first two matches.
 Dhawan's form later tailed off in England and Australia in 2014 but he hit back with 412 runs at 51.50 in India's run to the 2015 World Cup semi-finals.Sidharth Monga"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1220569.html"",""Shikhar Dhawan"")"	India
Mashrafe Mortaza	Mashrafe Bin Mortaza	October 5, 1983, Norail, Jessore 	37 years 146 days	Bangladesh, Asia XI, Dhaka Gladiators, Dhaka Platoon, Khulna Division, Kolkata Knight Riders	Bowler	Right-hand bat	Right-arm fast-medium	51*	Bangladesh v Zimbabwe at Chattogram, Nov 23, 2001	"The quintessential country boy, Mashrafe Bin Mortaza epitomised the term ""bursting onto the scene"". He first came into attention during an under-17 regional tournament in 2001 when he bowled fast, slammed sixes and dived around without a care in the world. 
 Mashrafe's entry also sparked plenty of enthusiasm because he was the first genuine fast bowler to emerge from Bangladesh since their entry into Test cricket in 2000. He was sent to a camp conducted by West Indian great Andy Roberts, who proclaimed that Mashrafe had a great future. The selectors fast-tracked his growth and within a few months, during which he played four games for Bangladesh A in India, the young man from far-off Narail took the new-ball against visiting Zimbabwe. Soon it was clear that he had what it takes: Mashrafe was making the likes of Grant Flower jump around due to his pace, a first for a Bangladeshi fast bowler.
 But another thing was also clear to those who observed him - his rickety bowling action. Feet and arms landed in the wrong arcs, and soon the injuries set in. And that has been the story of his career. Mashrafe has missed more games for Bangladesh than he has played ever since his 2001 debut. He has had seven operations on his legs, knees and ankles, which have taking a beating - first due to poor handling by captains who gave him long and ill-adviced bowling spells, and then due to freakish accidents.
 After many missed games in between the odd fiery spell, Mashrafe rose to prominence in 2004, when he helped Bangladesh beat India for the first time. He was ever-present when Bangladesh pushed Australia but dropped the crucial catch of Ricky Ponting that cost the home side a win. But he made up the following year when his four-wicket haul destroyed India in the 2007 World Cup game at Port-of-Spain. Mashrafe's early strikes have always helped Bangladesh, none more so than in the 2009 tri-series final when he and Nazmul Hossain sunk Sri Lanka to a new low - six runs for five wickets. Bangladesh lost the game but Mashrafe was tremendous in his ten overs.
 He was made captain in mid-2009 but in his first Test in charge, fell over and injured his knee. When he returned the next year, he led Bangladesh to a win against England in the summer of 2010 before falling over once again in his home debut as captain, against New Zealand. He missed the 2011 World Cup after yet another knee injury, but has since made a successful return in the 2012 Asia Cup.Mohammad Isam"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221382.html"",""Mashrafe Mortaza"")"	Bangladesh
Darren Bravo	Darren Michael Bravo	February 6, 1989, Trinidad 	32 years 22 days	West Indies, Bengal Tigers, Comilla Victorians, Deccan Chargers, Kolkata Knight Riders, Multan Sultans, Nottinghamshire, Sunrisers Hyderabad, Trinbago Knight Riders, Trinidad & Tobago, Trinidad & Tobago Red Steel, Trinidad & Tobago Under-19s, Trinidad & Tobago XI, UWI Vice Chancellor's Celebrity XI, West Indies A, West Indies Board President's XI, West Indies Cricket Board President's XI, West Indies Select XI, West Indies Select XI, West Indies Under-19s, West Indies XI, Winnipeg Hawks	Top-order batsman	Left-hand bat	Right-arm medium	124	West Indies v India at Kingston, Jun 26, 2009	Darren Bravo is living proof that imitation is the best form of flattery and learning. Only he chose to do it with one of the most inimitable masters of the game. To try to imitate is one thing, to pull it off at Test level, to imbibe it so much that it becomes you, is quite another. Brian Lara's cousin and Dwayne Bravo's half-brother, the younger Bravo, used to watch cricket only for Lara. As soon as Lara would get out, Bravo would switch off the TV and go out to bat. The result was not quite The Prince, but a talented left-hand batsman with the same walk, the same backlift, the same flourish, the same footwork, the same mannerisms. The most incredible part, though, is that none of it seems forced, gratuitous or less than the best that Bravo can do. The man was born to bat this way, right down to the same Lara leap upon reaching a century. It was that century that eluded Bravo for his first 31 ODIs, nine Tests and four T20Is. The appetite, though, was there. For a stylish and attacking batsman, he is one of the few young stars in world cricket who feel more at home as the length of the format increases. His early century drought might suggest otherwise, but he is a man for long innings, a man who seems to love to bat on and on. His first century arrived in Bangladesh, in his tenth Test, and he made it a big one, falling five short of a double. He scored two more in the series in India immediately after. After 12 Tests his run aggregate and average were identical to that of Lara's after 12. He scored his first ODI century against Zimbabwe in 2013. Of course Bravo doesn't have to face the quality of bowling Lara did, and he bats a position lower that Lara's No. 3. Like Lara he will soon become the best batsman of a struggling batting line-up. What he does with a team even weaker than the one Lara played in will be Bravo's real test. Sidharth Monga	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/818711.html?alt=1"",""Darren Bravo"")"	West Indies
Chris Woakes	Christopher Roger Woakes	March 2, 1989, Birmingham, Warwickshire 	31 years 363 days	England, Delhi Capitals, England Development Programme Under-19s, England Lions, England Performance Programme, England Performance Programme XI, England Under-19s, Herefordshire, Herefordshire, Kolkata Knight Riders, Marylebone Cricket Club, Nottinghamshire 2nd XI, Royal Challengers Bangalore, Sydney Thunder, Warwickshire, Warwickshire 2nd XI, Wellington	Allrounder	Right-hand bat	Right-arm fast-medium	95*	Australia v England at Sydney, Jan 23, 2011	"By the time Chris Woakes returned from England's tour to South Africa at the start of 2016, he feared his Test career was over. He was 27 by then and had played six Tests. But, despite bowling respectably on almost every outing, he had never quite made the breakthrough and an average of 63.75 made dispiriting reading. It looked as if he may be remembered as one of England's nearly men. 
 But fate offered another chance. A knee injury to Ben Stokes saw Woakes recalled to the squad to play Sri Lanka at Chester-le-Street. On the same day he claimed career-best figures of 9 for 36 against Durham - ""It was like facing 90mph leg-breaks,"" Paul Collingwood said - and, with Alastair Cook insisting Woakes' batting gave him the edge (both Paul Farbrace and Trevor Bayliss wanted Jake Ball to play), he made it back into the XI.
 It was to prove the start of a golden summer. After career-bests (up to that point) with bat and ball at Chester-le-Street, he made a maiden Test half-century at Lord's and followed it with an unbeaten 95 to help England to an unlikely tie in an ODI at Trent Bridge. It was the highest score by a No. 8 or lower in the history of ODIs and helped England recover from 92 for 6 in pursuit of 287.
 Then, at Lord's, he claimed 11 for 102 against Pakistan, becoming the first England bowler since Ian Botham in 1978 to take a five-wicket haul in each innings of a Test at the ground. He followed it with another seven wickets and a half-century in Manchester and five more wickets in Birmingham. His 26 wickets at 16.73 apiece were a record in a series between England and Pakistan. Woakes, finally, had arrived at the top level. He was named one of Wisden's Cricketers of the Year for his efforts.
 In many ways it was a surprise it had taken so long. Woakes had long been a highly respected player at county level. He made his first-class debut for Warwickshire in 2006 as a 17-year-old and, before he was 20, was topping the county's bowling averages (45 wickets at 20.48 in 2008) with impressive control and an ability to swing the ball both ways. Most of all, though, he impressed with an apparently unflappable temperament that Ashley Giles, director of cricket at Warwickshire, admitted he would like ""to clone"" as the template for all players.
 After two more solid county seasons, he was selected on the England Lions tour of the West Indies in 2010, where he performed admirably and was deemed ready for the next step. He made his international debut in a T20 in Adelaide in January 2011 and kept his cool to hit the winning runs in a thrilling one-wicket victory. A few weeks later, he claimed 6 for 45 at Brisbane - the second-best figures by an Englishman in ODIs. 
 Back in the UK, Woakes enjoyed another superb summer in first-class cricket with 56 wickets at 21.78 and 579 runs at 48.25. Most of his chances for England came with the white ball, playing spasmodically over the next couple of years, before being handed a Test debut at the end of the 2013 Ashes. He performed respectably on a flat pitch, but it was felt he lacked the pace to prosper at Test level and he was left out of the Ashes squad for the return tour to Australia. 
 Having worked hard to add that pace, Woakes was recalled in place of Stokes in the summer of 2014 and played three Test in succession against India. He enjoyed no luck, but demonstrated the skill and control to suggest he had a future at that level. But a succession of injuries - and the development of Stokes - saw him slip back among the chasing pack and he lost his central contract at the end of 2015.
 The summer of 2016 changed his fortunes, and his growing reputation was rewarded in 2017 by a first IPL contract. But having been expected to lead England's attack in the Champions Trophy, he instead pulled up after bowling just two overs in their opening match and missed the rest of the tournament. A difficult Ashes tour followed and he was dropped from the Test side in New Zealand - his bowling average away from home having risen to 61.77 - but he bounced back during the English summer, scoring a maiden Test century, against India at Lord's.George Dobell"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1223522.html"",""Chris Woakes"")"	England
Virat Kohli	Virat Kohli	November 5, 1988, Delhi 	32 years 115 days	India, Delhi, India A, India Blue, India Emerging Players, India Red, India Under-19s, Indian Board President's XI, North Zone, Oil & Natural Gas Corporation, Rest of India, Royal Challengers Bangalore	Top-order batsman	Right-hand bat	Right-arm medium	183	Sri Lanka v India at Dambulla, Aug 18, 2008	"India has given to the world many a great cricketer but perhaps none as ambitious as Virat Kohli. To meet his ambition, Kohli employed the technical assiduousness of Sachin Tendulkar and fitness that was in the league of top athletes in the world, not just cricketers. As a result, Kohli became the most consistent all-format accumulator of his time, making jaw-dropping chases look easy, and finding, in his own words, the safest possible way to score runs. Plenty of them. 
  This ambition transferred seamlessly to his captaincy: he demanded more than ever of his bowlers especially the quick ones, often sacrificed a batsman for bowling depth, and led India to a long stay at No. 1 in Test rankings and a first-ever series win in Australia. He is well on his way to end up as India's most successful Test captain.  
  Barring one in Bangladesh, Kohli scored Test hundreds in and against every country he played. He absolutely smashed records for number of matches taken to reach eight, nine, ten and eleven thousand ODI runs. He was a genuine threat to Sachin Tendulkar's record of 49 ODI and 51 Test hundreds. 
  An Under-19 world Cup-winning captain, when he burst onto the scene, Kohli was a precocious talent with a cover drive to kill for. He was destined to be India's next big batsman as the Tendulkar era began to retire, but Kohli wanted to be more: a cricketer whom the opposition would be in awe of, a cricketer whose presence would raise the intensity of the contest. He lived every ball, competed each moment, and made sure he had the fitness and strength to do so. He was widely credited for changing the fitness culture in Indian cricket, introducing endurance tests as a criterion for selection. 
  Kohli was quite simply India's most powerful captain. Centre of every marketing campaign for Indian cricket, he also happened to lead at a time when the BCCI was run by interim administrators who knew better than to draw the ire of Indian cricket's biggest star. There was never any cause to doubt his intent: to do things that will win matches for India, which they did plenty under him."	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1183835.html?alt=1"",""Virat Kohli"")"	India
Dawlat Zadran	Dawlat Zadran	March 19, 1988, Khost, Afghanistan 	32 years 346 days	Afghanistan, Band-e-Amir Region	Bowler	Right-hand bat	Right-arm fast-medium	47*	Afghanistan v Netherlands at Dubai (DSC), Mar 14, 2012	"Dawlat Zadran's expressive, homespun bowling action, redolent of Waqar Younis, allows him to generate disarming pace with a quick arm over a braced front leg. Born in Khost, Zadran made his List A debut in Islamabad in 2011, when Afghanistan became the first international team to visit Pakistan since the 2009 attack on the Sri Lankan cricket team, and his speed and wicket-taking ability soon saw him installed as a regular fixture in their playing XI. 
 Zadran was clocked at 145.3kph during the Asia Cup in 2014, and provides the sort of pace rarely seen in Associate sides. He was Afghanistan's spearhead at their successful World T20 qualifying campaign in 2011-12, and represented the team at both the 2012 and 2014 tournaments. While he probably won't stick around for long at the crease, Zadran is also a handy sting in the tail of Afghanistan's batting. He cracked four sixes in seven deliveries to help Afghanistan to a last-over win against Zimbabwe in 2014 - a result that allowed Afghanistan to claw their way back into, and eventually level, the series.Liam Brickhill"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221776.html"",""Dawlat Zadran"")"	Afghanistan
Fakhar Zaman	Fakhar Zaman	April 10, 1990, Mardan, North-West Frontier Province 	30 years 324 days	Pakistan, Abbottabad, Abbottabad Falcons, Abbottabad Rhinos, Comilla Victorians, Danube Lions, Glamorgan, Habib Bank Limited, Karachi Blues, Karachi Dolphins, Karachi Zebras, Karachi Zebras, Khyber Pakhtunkhwa, Lahore Qalandars, Pakhtoons, Pakistan A, Pakistan Navy, Peshawar	Opening batsman	Left-hand bat	Slow left-arm orthodox	210*	Pakistan v South Africa at Birmingham, Jun 7, 2017	"Born in Mardan, where the standard of batsmanship will always be measured by arguably Pakistan's greatest Test batsman Younis Khan, Fakhar Zaman has been on Pakistan's thankless domestic circuit for over five years with almost no attention. A left-handed opener with an unusually high backlift, Zaman relies on timing for his runs, which he's made plenty of. This is illustrated by his domestic average (42 in first class cricket and 49 in List A). But it wasn't until the Quaid-e-Azam trophy in 2016-17 that his form began to be noticed. Zaman scored 663 runs in the competition at an average of 51, including 170 in the second innings of the final, a game dominated by the twin centuries of former Pakistan captain Salman Butt. 
 However, his prolific form earned him a contract in the PSL with the Lahore Qalandars. He showed flashes of the class he'd been displaying domestically, particularly during a 33-ball 56 against Karachi where he destroyed the opposition bowling and looked extremely elegant while doing so. It earned him a call-up to Pakistan's T20I side for the West Indies tour, and he made his debut in the second match in Port of Spain.
 His first three T20Is only brought him 26 runs, and much of the world was still unaware of his talent when he made his ODI debut a couple of months later, in England, during the 2017 Champions Trophy. Having missed the opening-match defeat to India, Zaman turned Pakistan's batting fortunes around with scores of 31, 50, 57 and 114 in his first four ODI innings, his strike rate of 113.00 giving a dated 50-overs line-up much-needed oomph at the top of the order. The maiden hundred went on to win him the Player-of-the-Match award in the final, setting up a total of 338 that proved a long way beyond India's reach.Danyal Rasool"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221113.html"",""Fakhar Zaman"")"	Pakistan
